"city","hotel","description","url","coords","avg_temperature_7days"
"Mont-Saint-Michel","Les Terrasses Poulard","Occupant 2 bâtiments différents au cœur du Mont-Saint-Michel, l'établissement historique Les Terrasses Poulard propose des hébergements avec une vue sur la baie, le village et la rue. ","https://www.booking.com
/hotel/fr/les-terrasses-poulard.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4AtjPrIsGwAIB0gIkYjhhYjhhNWYtNzBkYi00MWFmLWE5NDgtMGU2MzllYzNiYjIx2AIF4AIB&sid=1722bdc5d687b18a94ae6c844968f8bc&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=5&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1634412506&srpvid=76eb88ed9574005f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","-1.51037871837616,48.6353494256412",16.35857143
"Mont-Saint-Michel","Le Saint Aubert","Niché dans un écrin de verdure, à seulement 2 km du Mont-Saint-Michel, Le Saint Aubert vous accueille dans un cadre chaleureux et convivial. ","https://www.booking.com
/hotel/fr/hotel-saint-aubert.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4AtjPrIsGwAIB0gIkYjhhYjhhNWYtNzBkYi00MWFmLWE5NDgtMGU2MzllYzNiYjIx2AIF4AIB&sid=1722bdc5d687b18a94ae6c844968f8bc&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=4&hpos=4&no_rooms=1&sr_order=popularity&srepoch=1634412506&srpvid=76eb88ed9574005f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","-1.51010513305664,48.6129378347065",16.35857143
"Mont-Saint-Michel","Hotel De La Digue","L'hôtel De La Digue est un établissement traditionnel situé en Normandie, à seulement 5 minutes en navette ou à 30 minutes de marche du Mont-Saint-Michel. ","https://www.booking.com
/hotel/fr/de-la-digue.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4AtjPrIsGwAIB0gIkYjhhYjhhNWYtNzBkYi00MWFmLWE5NDgtMGU2MzllYzNiYjIx2AIF4AIB&sid=1722bdc5d687b18a94ae6c844968f8bc&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=3&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1634412506&srpvid=76eb88ed9574005f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","-1.51091784238815,48.6168815494412",16.35857143
"Mont-Saint-Michel","Mercure Mont Saint Michel","Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses avec salle de bains privative, un bar-restaurant et de...","https://www.booking.com
/hotel/fr/mont-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4AtjPrIsGwAIB0gIkYjhhYjhhNWYtNzBkYi00MWFmLWE5NDgtMGU2MzllYzNiYjIx2AIF4AIB&sid=1722bdc5d687b18a94ae6c844968f8bc&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=2&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1634412506&srpvid=76eb88ed9574005f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","-1.51054501533508,48.6142465295929",16.35857143
"Mont-Saint-Michel","Hôtel Vert","Situé à 2 km du Mont-Saint-Michel, sur la côte normande, l'Hôtel Vert propose des chambres décorées dans des tons pastel dotées d'une salle de bains privative, d'une télévision ainsi que d'une...","https://www.booking.com
/hotel/fr/vert.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4AtjPrIsGwAIB0gIkYjhhYjhhNWYtNzBkYi00MWFmLWE5NDgtMGU2MzllYzNiYjIx2AIF4AIB&sid=1722bdc5d687b18a94ae6c844968f8bc&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1634412506&srpvid=76eb88ed9574005f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","-1.50961697101593,48.6147004862904",16.35857143
"St-Malo","Domaine de la Barbinais","L’hôtel Domaine de la Barbinais vous accueille au sein d’un parc paysager de 7 000 m², dans la campagne de Saint-Malo. Une connexion Wi-Fi est disponible dans l’ensemble des locaux. ","https://www.booking.com
/hotel/fr/domaine-de-la-barbinais.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4At7QrIsGwAIB0gIkN2UxYWZhNjgtNTdhZC00ZmQyLWJjMjYtZTY1NGQ1MjZkMDdl2AIF4AIB&sid=9a8bbf01352469c38c7bbc37514681b3&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=25&hpos=25&no_rooms=1&sr_order=popularity&srepoch=1634412640&srpvid=5b0c893071d40070&ucfs=1&sig=v1GU3b7NDT&from=searchresults
;highlight_room=#hotelTmpl","-1.95936143558197,48.6448125162663",16.47142857
"St-Malo","Hotel La Cote d'Emeraude","Situé à seulement 150 mètres de la plage de Saint-Malo, l'Hotel La Côte d'Emeraude propose une connexion Wi-Fi gratuite dans l'ensemble de ses locaux et un bar sur place. ","https://www.booking.com
/hotel/fr/la-cote-d-39-emeraude.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4At7QrIsGwAIB0gIkN2UxYWZhNjgtNTdhZC00ZmQyLWJjMjYtZTY1NGQ1MjZkMDdl2AIF4AIB&sid=9a8bbf01352469c38c7bbc37514681b3&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=24&hpos=24&no_rooms=1&sr_order=popularity&srepoch=1634412640&srpvid=5b0c893071d40070&ucfs=1&sig=v1o6RQ1QXD&from=searchresults
;highlight_room=#hotelTmpl","-2.00239680000004,48.6560923489056",16.47142857
"St-Malo","Ker Annick","Situé à Saint-Malo, à moins de 2,1 km de la plage de Rochebonne et à 1,5 km du Palais L'établissement du Grand Large, Ker Annick propose un bar et une connexion Wi-Fi gratuite dans l'ensemble de ses...","https://www.booking.com
/hotel/fr/ker-annick.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4At7QrIsGwAIB0gIkN2UxYWZhNjgtNTdhZC00ZmQyLWJjMjYtZTY1NGQ1MjZkMDdl2AIF4AIB&sid=9a8bbf01352469c38c7bbc37514681b3&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=23&hpos=23&no_rooms=1&sr_order=popularity&srepoch=1634412640&srpvid=5b0c893071d40070&ucfs=1&sig=v1CGvsQGt9&from=searchresults
;highlight_room=#hotelTmpl","-2.008805,48.647138",16.47142857
"St-Malo","Brit Hotel Saint Malo – Le Transat","Situé à l'entrée de Saint-Malo, en face de l'aquarium, le Brit Hotel Le Transat propose des chambres climatisées bien équipées. ","https://www.booking.com
/hotel/fr/brit-le-transat.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4At7QrIsGwAIB0gIkN2UxYWZhNjgtNTdhZC00ZmQyLWJjMjYtZTY1NGQ1MjZkMDdl2AIF4AIB&sid=9a8bbf01352469c38c7bbc37514681b3&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=22&hpos=22&no_rooms=1&sr_order=popularity&srepoch=1634412640&srpvid=5b0c893071d40070&ucfs=1&sig=v1pjbML00a&from=searchresults
;highlight_room=#hotelTmpl","-1.99130415916443,48.6218213977172",16.47142857
"St-Malo","Hotel Eden","À 100 mètres de la plage, le charmant établissement Hotel Eden bénéficie d'un accès direct à la vieille ville et au palais des congrès. Il propose des chambres confortables. ","https://www.booking.com
/hotel/fr/eden-saint-malo.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4At7QrIsGwAIB0gIkN2UxYWZhNjgtNTdhZC00ZmQyLWJjMjYtZTY1NGQ1MjZkMDdl2AIF4AIB&sid=9a8bbf01352469c38c7bbc37514681b3&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=21&hpos=21&no_rooms=1&sr_order=popularity&srepoch=1634412640&srpvid=5b0c893071d40070&ucfs=1&sig=v1qcN_r0JU&from=searchresults
;highlight_room=#hotelTmpl","-1.98966532945633,48.6619091856498",16.47142857
